variant,input,n,rep,time_ns
shared,E,1000000,12,19241736
shared,E,1000000,13,19240212
shared,E,1000000,14,19244280
shared,E,1000000,15,19254438
shared,E,1000000,16,19249842
shared,E,1000000,17,19256088
shared,E,1000000,18,19256168
shared,E,1000000,19,19240866
shared,E,1000000,20,19241754
shared,E,1000000,21,19249772
shared,E,1000000,22,19255894
shared,E,1000000,23,19249152
shared,E,1000000,24,19244124
shared,E,1000000,25,19253578
shared,E,1000000,26,19245074
shared,E,1000000,27,19240088
shared,E,1000000,28,19247620
shared,E,1000000,29,19252242
stdsort,E,1000000,0,11295968
stdsort,E,1000000,1,11383462
stdsort,E,1000000,2,11364770
stdsort,E,1000000,3,11370794
stdsort,E,1000000,4,11274586
stdsort,E,1000000,5,11424226
stdsort,E,1000000,6,11454858
stdsort,E,1000000,7,11271296
stdsort,E,1000000,8,11269820
stdsort,E,1000000,9,11270040
stdsort,E,1000000,10,11271554
stdsort,E,1000000,11,11464468
stdsort,E,1000000,12,11560290
stdsort,E,1000000,13,11273282
stdsort,E,1000000,14,11457336
stdsort,E,1000000,15,11535356
stdsort,E,1000000,16,11457020
stdsort,E,1000000,17,11362248
stdsort,E,1000000,18,11458840
stdsort,E,1000000,19,11453564
stdsort,E,1000000,20,11355280
stdsort,E,1000000,21,11363524
stdsort,E,1000000,22,11339080
stdsort,E,1000000,23,11274216
stdsort,E,1000000,24,11273070
stdsort,E,1000000,25,11273508
stdsort,E,1000000,26,11365376
stdsort,E,1000000,27,11468980
stdsort,E,1000000,28,11283676
stdsort,E,1000000,29,11296660
qsort,E,1000000,0,30904924
qsort,E,1000000,1,30305028
qsort,E,1000000,2,30286004
qsort,E,1000000,3,30298900
qsort,E,1000000,4,30299814
qsort,E,1000000,5,30303012
qsort,E,1000000,6,30292118
qsort,E,1000000,7,30291626
qsort,E,1000000,8,30287768
qsort,E,1000000,9,30286098
qsort,E,1000000,10,30296026
qsort,E,1000000,11,30299566
qsort,E,1000000,12,30284172
qsort,E,1000000,13,30287604
qsort,E,1000000,14,30284984
qsort,E,1000000,15,30297044
qsort,E,1000000,16,30286268
qsort,E,1000000,17,30291926
qsort,E,1000000,18,30288866
qsort,E,1000000,19,30301084
qsort,E,1000000,20,30286430
qsort,E,1000000,21,30287830
qsort,E,1000000,22,30295290
qsort,E,1000000,23,30287512
qsort,E,1000000,24,30290396
qsort,E,1000000,25,30288840
qsort,E,1000000,26,30281124
qsort,E,1000000,27,30304082
qsort,E,1000000,28,30285474
qsort,E,1000000,29,30322032
alloc,R,10000000,0,1254120182
alloc,R,10000000,1,1256170550
alloc,R,10000000,2,1255383496
alloc,R,10000000,3,1254964382
alloc,R,10000000,4,1254599436
alloc,R,10000000,5,1253983034
alloc,R,10000000,6,1254530660
alloc,R,10000000,7,1254606634
alloc,R,10000000,8,1253743612
alloc,R,10000000,9,1253180464
alloc,R,10000000,10,1255139096
alloc,R,10000000,11,1253234924
alloc,R,10000000,12,1253588172
alloc,R,10000000,13,1254619316
alloc,R,10000000,14,1253695004
shared,R,10000000,0,1132096252
shared,R,10000000,1,1131659538
shared,R,10000000,2,1131690402
shared,R,10000000,3,1131696362
shared,R,10000000,4,1131897988
shared,R,10000000,5,1131114632
shared,R,10000000,6,1131720800
shared,R,10000000,7,1132121030
shared,R,10000000,8,1131311986
shared,R,10000000,9,1132084136
shared,R,10000000,10,1131815606
shared,R,10000000,11,1131944546
shared,R,10000000,12,1131375826
shared,R,10000000,13,1131569548
shared,R,10000000,14,1132431196
stdsort,R,10000000,0,701768282
stdsort,R,10000000,1,701404368
stdsort,R,10000000,2,701870652
stdsort,R,10000000,3,701753372
stdsort,R,10000000,4,701350656
stdsort,R,10000000,5,701785518
stdsort,R,10000000,6,702134278
stdsort,R,10000000,7,701867534
stdsort,R,10000000,8,701661552
stdsort,R,10000000,9,701426772
stdsort,R,10000000,10,702222658
stdsort,R,10000000,11,701125158
stdsort,R,10000000,12,702348464
stdsort,R,10000000,13,702158474
stdsort,R,10000000,14,702293982
qsort,R,10000000,0,1631414394
qsort,R,10000000,1,1632045172
qsort,R,10000000,2,1630766648
qsort,R,10000000,3,1631009254
qsort,R,10000000,4,1630777896
qsort,R,10000000,5,1630253098
qsort,R,10000000,6,1630194376
qsort,R,10000000,7,1630856768
qsort,R,10000000,8,1630392964
